gene,pcc,n_units,pcc_A1,pcc_A2,pcc_A3,pcc_A4,pcc_A5,pcc_A6,pcc_B1,pcc_B2,pcc_B3,pcc_B4,pcc_B5,pcc_B6,pcc_C1,pcc_C2,pcc_C3,pcc_C4,pcc_C5,pcc_C6,pcc_D1,pcc_D2,pcc_D3,pcc_D4,pcc_D5,pcc_D6,pcc_E1,pcc_E2,pcc_E3,pcc_F1,pcc_F2,pcc_F3,pcc_G1,pcc_G2,pcc_G3,pcc_H1,pcc_H2,pcc_H3
CDK5RAP1,0.07581425967024795,36,0.014315505512058735,0.029804794117808342,0.11659787595272064,0.017302345484495163,-0.0313682034611702,0.062028370797634125,0.21381741762161255,0.08129735291004181,0.33456575870513916,0.11295850574970245,0.296795517206192,0.22367042303085327,-0.03494097292423248,0.15237309038639069,0.11194223910570145,0.12822723388671875,0.09715793281793594,-0.006289868149906397,0.10803209990262985,0.1359683722257614,0.14323891699314117,0.14860990643501282,0.054172903299331665,0.1305999606847763,0.03572201356291771,-0.056751836091279984,-0.06664485484361649,-0.024630099534988403,-0.059032127261161804,-0.04476514086127281,0.03433186933398247,-0.00038049352588132024,0.07862875610589981,0.005169782787561417,0.08399136364459991,0.10279663652181625
CENPF,0.09141730026911116,36,0.06706377118825912,0.07817348092794418,0.10146612673997879,0.045742250978946686,0.08460084348917007,0.07742071896791458,0.08975262194871902,0.04276195168495178,0.0495983324944973,0.32433366775512695,0.11109434068202972,0.20159120857715607,0.05053875222802162,0.18550126254558563,0.21743999421596527,0.08642710745334625,-0.05951978266239166,0.0605943538248539,0.15236908197402954,0.1206481009721756,0.14171887934207916,0.18500590324401855,0.09974370896816254,0.11291400343179703,0.012109324336051941,-0.02010987140238285,-0.046585213392972946,0.08269454538822174,-0.003486755769699812,0.03298061713576317,0.10872600227594376,0.05953281745314598,0.09645886719226837,0.1291336566209793,0.1871432065963745,0.025444932281970978
CEP250,0.07338047805630292,36,-0.007852167822420597,0.008292469196021557,0.059069786220788956,0.05502459406852722,-0.02742132544517517,-0.006704327650368214,0.10843313485383987,0.2014082670211792,0.19148273766040802,0.15898397564888,0.10496866703033447,0.16269908845424652,0.054172515869140625,0.14741250872612,0.09910894930362701,0.14210398495197296,0.1350189447402954,-0.08057472109794617,-0.03457070514559746,0.19835886359214783,0.04823142662644386,-0.04061809554696083,0.08730751276016235,0.02434021793305874,-0.04147883877158165,-0.03769327700138092,0.016779784113168716,0.08173944056034088,0.0011212078388780355,0.023149946704506874,0.11411958187818527,0.21489466726779938,0.08519626408815384,0.13605739176273346,0.15915794670581818,0.0999767929315567
CEP55,0.06988765001814398,36,0.05171100050210953,0.008349553681910038,-0.04514174163341522,-0.036196719855070114,0.12602950632572174,-0.07049426436424255,0.12726198136806488,0.21657653152942657,0.17308303713798523,0.14947643876075745,0.07964248955249786,0.05687369033694267,0.0968875139951706,0.056490324437618256,0.06687965244054794,0.04696102440357208,0.09080719947814941,0.1352362185716629,0.1156831607222557,0.17566972970962524,0.04956227168440819,0.09894438832998276,0.09587983787059784,0.08707871288061142,0.03362320363521576,-0.07655584067106247,0.05612584576010704,-0.015198994427919388,-0.06136450916528702,0.03799230605363846,0.1491018682718277,0.149974524974823,0.08020920306444168,0.11055097728967667,0.016271375119686127,0.08197390288114548
CERCAM,0.04127224855862247,36,0.005078260786831379,-0.0255949217826128,0.07486388087272644,0.011581829749047756,0.0017435898771509528,-0.0464576855301857,0.0682019516825676,0.27538344264030457,0.05647365003824234,0.06306155025959015,0.029135415330529213,0.10252417623996735,0.003517269855365157,-0.004341574385762215,0.06858178228139877,-0.01892670802772045,0.045984186232089996,0.08249882608652115,-0.047433868050575256,-0.012289062142372131,0.00927179679274559,0.15766027569770813,0.15516060590744019,0.0475425161421299,-0.006006591487675905,-0.04523830860853195,0.0070381867699325085,-0.05359796807169914,-0.019100507721304893,-0.027587689459323883,-0.015026036649942398,0.17322002351284027,0.15955407917499542,0.09930600225925446,0.09133558720350266,0.01868298463523388
CERS5,0.1086655494081141,36,0.013739598914980888,0.01644413359463215,0.04813192039728165,0.07688147574663162,0.0006986071239225566,0.04557448998093605,0.032456040382385254,0.07034533470869064,0.2984704077243805,0.08853673934936523,0.3021467328071594,0.1909535676240921,0.07915787398815155,0.18448692560195923,0.10832355171442032,0.1571580320596695,0.197170689702034,0.23722636699676514,0.03485070541501045,-0.007713920436799526,0.12311825156211853,0.21645976603031158,0.05238986387848854,0.15866005420684814,-0.006751741748303175,0.08735103160142899,0.07778774201869965,0.02993139438331127,0.04487553983926773,0.006229930557310581,0.14489714801311493,0.11272203922271729,0.16221046447753906,0.127447247505188,0.21197384595870972,0.1876179277896881
CES2,0.03792842752429553,36,-0.012635302729904652,0.02275564707815647,0.005717923399060965,0.04350132867693901,0.04293220490217209,-0.04619678482413292,-0.010938254185020924,0.08782777935266495,0.08256728947162628,0.09547346085309982,0.08481528609991074,-0.010600795038044453,0.06818508356809616,0.1087389588356018,0.003993394784629345,0.13209311664104462,-0.00841507501900196,0.23322834074497223,-0.0769679844379425,-0.09709638357162476,-0.0259164460003376,-0.009894706308841705,0.11042289435863495,0.04194291681051254,0.07254191488027573,-0.0028859220910817385,0.013353275135159492,-0.005075117573142052,-0.014620251953601837,-0.05431939661502838,0.04783345386385918,0.17429161071777344,0.032033853232860565,0.04896802455186844,0.1558479368686676,0.031920116394758224
CFAP36,0.057466095125871815,36,0.03305980935692787,-0.037771325558423996,0.06281618028879166,-0.020361552014946938,0.02364925667643547,-0.02877921238541603,0.1234034076333046,0.04945153743028641,0.04867764189839363,0.033421579748392105,0.09805134683847427,0.1556270867586136,-0.005009338725358248,0.1442367434501648,0.07169368118047714,0.06760527938604355,0.09882284700870514,0.07559827715158463,0.16062027215957642,0.0933840200304985,0.12474491447210312,0.15328547358512878,0.04341455176472664,0.12030148506164551,-0.11024222522974014,0.028343969956040382,-0.05168479308485985,0.056052014231681824,0.0744294822216034,-0.0031845278572291136,0.008783852681517601,0.038553059101104736,0.08914195746183395,0.04647397622466087,0.07237835973501205,0.12979033589363098
CFDP1,0.10486551763541582,36,0.025369461625814438,0.1041402667760849,0.09432118386030197,0.14693856239318848,-0.0019735784735530615,0.0595037117600441,0.10038886219263077,0.08960327506065369,0.020182719454169273,0.11960138380527496,0.08570441603660583,0.08337420970201492,0.1809581071138382,0.10438715666532516,0.22425754368305206,0.016900980845093727,0.02072100155055523,0.3001667559146881,0.09698094427585602,0.21459272503852844,0.1369427591562271,0.22458693385124207,0.14876341819763184,0.0483008474111557,-0.004189385566860437,-0.035172827541828156,0.0043407040648162365,-0.0012889865320175886,0.07341578602790833,0.08863565325737,0.21482333540916443,0.15132467448711395,0.10694898664951324,0.1545577198266983,0.21460901200771332,0.16244031488895416
CGGBP1,0.1428675531513161,36,0.0812884271144867,0.08448655158281326,0.17909452319145203,0.0995803102850914,0.11147496849298477,-0.018371887505054474,0.11073937267065048,0.2892504036426544,0.21822772920131683,0.18707537651062012,0.2966233789920807,0.4322311580181122,0.10943203419446945,0.24979956448078156,0.19583897292613983,0.2262616604566574,0.13072407245635986,0.34890177845954895,0.1695694923400879,0.08120213449001312,0.15921953320503235,0.1497448980808258,0.17387066781520844,0.11289797723293304,0.06647853553295135,-0.08606836944818497,-0.04207228869199753,0.022756755352020264,-0.053342390805482864,0.04044908657670021,0.12559038400650024,0.15417270362377167,0.0908225029706955,0.19171927869319916,0.23116610944271088,0.22239650785923004
