gene,pcc,n_units,pcc_fold00_A,pcc_fold01_B,pcc_fold02_C,pcc_fold03_D,pcc_fold04_E,pcc_fold05_F,pcc_fold06_G,pcc_fold07_H
AQP1,0.007465810282155871,8,0.043758418411016464,-0.07389255613088608,0.032936155796051025,0.020392607897520065,0.04428253695368767,0.019737185910344124,0.038125962018966675,-0.06561382859945297
ARF5,0.03203623741865158,8,0.01698356494307518,0.03209682181477547,0.07687114924192429,0.03988076373934746,-0.035126104950904846,-0.04442708566784859,0.11522428691387177,0.054786503314971924
ARF6,0.17486709239892662,8,0.14024414122104645,0.3052575886249542,0.254291832447052,0.249985471367836,-0.013039076700806618,0.07844014465808868,0.1556892693042755,0.22806736826896667
ARFGEF2,0.06759823445463553,8,0.0841008871793747,0.13083156943321228,0.10440932214260101,0.048756763339042664,-0.005856416653841734,0.023884102702140808,0.11649421602487564,0.03816543146967888
ARHGAP10,0.0436296061379835,8,0.012600842863321304,0.1040513813495636,0.043251946568489075,0.05600554496049881,0.00376757699996233,-0.010030066594481468,0.045737672597169876,0.09365195035934448
ARHGAP4,0.08691283594816923,8,-0.01288982480764389,0.23000000417232513,0.06678079813718796,0.10585375130176544,0.06415717303752899,0.006598740816116333,0.07915835827589035,0.15564368665218353
ARHGAP45,0.07313535083085299,8,-0.013259677216410637,0.2558455765247345,0.036780454218387604,0.011521054431796074,0.036426182836294174,-0.03683769330382347,0.07718761265277863,0.21741929650306702
ARHGAP5,0.0598683450371027,8,0.028054583817720413,0.05621703341603279,0.09983932971954346,0.046253692358732224,0.03920428827404976,0.03444831073284149,0.07950219511985779,0.09542732685804367
ARHGEF10L,0.09086744557134807,8,0.03089326061308384,0.17443321645259857,0.07180308550596237,0.08849453926086426,0.055210113525390625,-0.024550195783376694,0.14490079879760742,0.18575474619865417
ARHGEF3,0.09333926680847071,8,0.06049506366252899,0.20157799124717712,0.08632779866456985,0.08123969286680222,-0.0026243862230330706,0.021642399951815605,0.13084439933300018,0.16721117496490479
ARHGEF40,0.019907122499716934,8,-0.019753003492951393,-0.020187940448522568,0.05884413793683052,0.03979796916246414,-0.04517321288585663,-0.0006272660684771836,0.04533107951283455,0.10102521628141403
ARID1B,0.0057120396522805095,8,0.01377357542514801,0.008464610204100609,-0.037625037133693695,0.030883027240633965,-0.03479509800672531,0.005347265861928463,0.013922736048698425,0.04572523757815361
ARID3A,-0.026391636580228806,8,-0.03587035834789276,-0.08118171244859695,-0.027941187843680382,0.025898344814777374,0.010317159816622734,-0.015443481504917145,-0.06290676444768906,-0.024005092680454254
ARID4A,-0.006613034238398541,8,-0.017126737162470818,-0.0761512964963913,-0.02760595642030239,0.008963251486420631,0.0331086739897728,0.002869528718292713,0.022220276296138763,0.0008179856813512743
ARID5A,0.04312160499102902,8,0.009731573052704334,0.2229127585887909,0.06343917548656464,0.03525498881936073,-0.07439569383859634,0.0018376460066065192,0.0724683478474617,0.01372404396533966
ARID5B,0.03246928215958178,8,0.04968057572841644,-0.0196238961070776,0.05742478743195534,0.040283430367708206,0.028850970789790154,0.04284636676311493,-0.0102438535541296,0.07053587585687637
ARNT,0.05377778579713777,8,0.01181645318865776,0.08258254081010818,0.10365862399339676,0.11712674051523209,-0.03590550273656845,0.006376402918249369,0.04474290460348129,0.09982412308454514
ASCL2,0.039802452723961323,8,0.005974168423563242,0.07594729959964752,0.057910505682229996,0.12152416259050369,-0.049615420401096344,-0.013928947038948536,0.05497615039348602,0.06563170254230499
ASH2L,0.0941430224920623,8,0.005869473796337843,0.17355069518089294,0.09540323168039322,0.21609985828399658,0.02079913765192032,0.0262110847979784,0.09440881758928299,0.1208018809556961
ASL,0.08179956919047982,8,0.04154910892248154,0.1743718832731247,0.08392637968063354,0.13580073416233063,-0.019962267950177193,-0.010597632266581059,0.14813019335269928,0.10117815434932709
ASMTL,0.05807813152205199,8,0.020281104370951653,0.11860739439725876,0.09284354001283646,0.04949859157204628,0.008988425135612488,0.0064716460183262825,0.07767035812139511,0.09026399254798889
ASNA1,0.11577739322092384,8,0.018727397546172142,0.25429168343544006,0.1720762699842453,0.17449937760829926,-0.012290733866393566,-0.02443239837884903,0.2064180225133896,0.13692952692508698
ASNS,0.05036249617114663,8,0.02645307220518589,0.10315665602684021,0.09949861466884613,0.07901578396558762,-0.012332795187830925,-0.07633361220359802,0.10592266172170639,0.07751958817243576
ATAD1,0.0559173715300858,8,0.0159732885658741,0.13233782351016998,0.049526337534189224,0.11260349303483963,-0.035644613206386566,0.03640168532729149,0.07154069095849991,0.06460026651620865
