gene,arm1_colour_colour,arm2_colour_gray,arm3_gray_gray,delta_arm3_arm1,delta_arm2_arm1
SVIL,0.135402,0.098920,0.150624,0.015222,-0.036482
SYDE1,0.179600,0.146481,0.155860,-0.023740,-0.033119
SYK,0.315620,0.278828,0.328718,0.013098,-0.036792
TACC3,0.397695,0.345112,0.385256,-0.012439,-0.052582
TANC2,0.605911,0.540858,0.587826,-0.018085,-0.065053
TARBP1,0.307109,0.262519,0.315667,0.008558,-0.044590
TAX1BP1,0.446877,0.433506,0.452755,0.005878,-0.013371
TAX1BP3,0.370210,0.334843,0.370192,-0.000018,-0.035367
TBC1D10A,0.422957,0.364352,0.419645,-0.003312,-0.058605
TBC1D23,0.450882,0.415384,0.441879,-0.009003,-0.035499
TBCA,0.411386,0.350751,0.405063,-0.006323,-0.060635
TBXAS1,0.432454,0.386733,0.442984,0.010530,-0.045721
TCEA2,0.390528,0.357989,0.377705,-0.012823,-0.032539
TCEA3,0.553359,0.511928,0.566981,0.013623,-0.041431
TCF25,0.372294,0.376139,0.373412,0.001118,0.003845
TDRD3,0.284302,0.267680,0.283514,-0.000788,-0.016622
TESK1,0.439308,0.417512,0.445755,0.006447,-0.021796
TESMIN,0.560931,0.489549,0.548051,-0.012880,-0.071383
TEX10,0.303122,0.228740,0.286882,-0.016240,-0.074382
TEX2,0.589305,0.525404,0.596652,0.007347,-0.063901
TFF3,0.203151,0.215866,0.195232,-0.007919,0.012715
TGFBR2,0.305307,0.289804,0.327920,0.022614,-0.015502
THBS1,0.359700,0.316258,0.356090,-0.003609,-0.043442
THOC5,0.273560,0.254122,0.258096,-0.015464,-0.019438
THOC6,0.292671,0.274667,0.275246,-0.017425,-0.018004
TIGD5,0.246416,0.199170,0.243245,-0.003171,-0.047245
TIMP1,0.383808,0.352708,0.398226,0.014418,-0.031100
TJP3,0.529017,0.477902,0.529646,0.000629,-0.051115
TM7SF2,0.421769,0.378110,0.414640,-0.007129,-0.043659
TMBIM6,0.515466,0.467144,0.502377,-0.013089,-0.048322
TMEM101,0.272186,0.248107,0.266130,-0.006056,-0.024080
TMEM123,0.609897,0.531360,0.606963,-0.002934,-0.078536
TMEM14B,0.604580,0.545961,0.589045,-0.015535,-0.058619
TMEM160,0.357565,0.323238,0.352862,-0.004704,-0.034327
TMEM184A,0.378106,0.363046,0.387226,0.009120,-0.015060
TMEM259,0.500304,0.454420,0.491751,-0.008552,-0.045883
